libasan1:amd64	4.9.3-13ubuntu2
libasan2-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libasm1:amd64	0.165-3ubuntu1
libasound2-dev:amd64	1.1.0-0ubuntu1
libatk1.0-0:i386	2.18.0-1
libatk1.0-dbg:amd64	2.18.0-1
libatk1.0-dev	2.18.0-1
libatm1:amd64	1:2.5.1-1.5
libatomic1-armhf-cross	5.4.0-6ubuntu1~16.04.1cross1
libattr1:amd64	1:2.4.47-2
libaudit-common	1:2.4.5-1ubuntu2
libaudit1:amd64	1:2.4.5-1ubuntu2
libav-tools	7:2.8.6-1ubuntu2
libbison-dev:amd64	2:3.0.4.dfsg-1
libblkid1:amd64	2.27.1-6ubuntu3.1
libbluetooth-dev	5.37-0ubuntu5
libbrlapi-dev:amd64	5.3.1-2ubuntu2.1
libbsd0:amd64	0.8.2-1
libbsd0:i386	0.8.2-1
libbz2-1.0:amd64	1.0.6-8
libbz2-dev:amd64	1.0.6-8
libc-bin	2.23-0ubuntu3
libc6:amd64	2.23-0ubuntu3
libc6:i386	2.23-0ubuntu3
libc6-armel-armhf-cross	2.23-0ubuntu3cross1
libc6-armel-cross	2.23-0ubuntu3cross1
libc6-armhf-cross	2.23-0ubuntu3cross1
libc6-dev-armel-armhf-cross	2.23-0ubuntu3cross1
libc6-dev-armel-cross	2.23-0ubuntu3cross1
libc6-dev-armhf-cross	2.23-0ubuntu3cross1
libc6-dev-i386	2.23-0ubuntu3
libc6-dev-x32	2.23-0ubuntu3
libc6-i386	2.23-0ubuntu3
libc6-x32	2.23-0ubuntu3
libcairo-script-interpreter2:amd64	1.14.6-1
libcairo2:i386	1.14.6-1
libcairo2-dbg:amd64	1.14.6-1
libcairo2-dev	1.14.6-1
libcap-dev:amd64	1:2.24-12
libcap2:amd64	1:2.24-12
libcap2:i386	1:2.24-12
libcap2-bin	1:2.24-12
libcomerr2:amd64	1.42.13-1ubuntu1
libcomerr2:i386	1.42.13-1ubuntu1
libcryptsetup4:amd64	2:1.6.6-5ubuntu2
libcups2-dev:amd64	2.1.3-4
libcurl4-gnutls-dev:amd64	7.47.0-1ubuntu2.1
libdatrie1:i386	0.2.10-2
libdb5.3:amd64	5.3.28-11
libdbus-1-dev:amd64	1.10.6-1ubuntu3
libdbus-glib-1-2:i386	0.106-1
libdebconfclient0:amd64	0.198ubuntu1
libdevmapper1.02.1:amd64	2:1.02.110-1ubuntu10
libdistro-info-perl	0.14build1
libdns-export162	1:9.10.3.dfsg.P4-8ubuntu1
libdrm-dev:amd64	2.4.67-1ubuntu0.16.04.2
libdw1:amd64	0.165-3ubuntu1
libefivar0:amd64	0.23-2
libegl1-mesa-dev:amd64	11.2.0-1ubuntu2.2
libelf-dev:amd64	0.165-3ubuntu1
libelf-dev:i386	0.165-3ubuntu1
libestr0	0.1.10-1
libev-dev	1:4.22-1
libexpat1:amd64	2.1.0-7ubuntu0.16.04.2
libexpat1:i386	2.1.0-7ubuntu0.16.04.2
libexpat1-dev:amd64	2.1.0-7ubuntu0.16.04.2
libfdisk1:amd64	2.27.1-6ubuntu3.1
libffi-dev:amd64	3.2.1-4
libffi6:amd64	3.2.1-4
libffi6:i386	3.2.1-4
libffi6-dbg:amd64	3.2.1-4
libfile-stripnondeterminism-perl	0.015-1
libfl-dev:amd64	2.6.0-11
libfontconfig1-dbg	2.11.94-0ubuntu1.1
libfontconfig1-dev:amd64	2.11.94-0ubuntu1.1
libfreetype6-dev:amd64	2.6.1-0.1ubuntu2
libfribidi0:amd64	0.19.7-1
libfwup0:amd64	0.5-2ubuntu4
libgbm-dev:amd64	11.2.0-1ubuntu2.2
libgcc-4.9-dev:amd64	4.9.3-13ubuntu2
